time,dP_pu
1773.462144,0.013203021457719667
1773.662378,0.01317624401816866
1773.862608,0.013471884355122048
1774.062841,0.013587120519781377
1774.263059,0.013592996671988352
1774.463289,0.013479471638163673
1774.66353,0.013397921896802074
1774.863759,0.013327994074028857
1775.063994,0.013418622477875272
1775.264229,0.013388702593426732
1775.464463,0.013547799670807246
1775.664697,0.013250251891776196
1775.864929,0.013446189557426172
1776.065159,0.013351164660741781
1776.265391,0.01354498831800615
1776.465624,0.013740498200947474
1776.665854,0.013986986011673924
1776.866098,0.013985358386368026
1777.066332,0.0142705019318572
1777.266554,0.014341515326504106
1777.466786,0.014268554934529078
1777.667026,0.014162961460925928
1777.867259,0.013233137653411222
1778.067506,0.007217393502558013
1778.267728,0.004453331200900908
1778.467967,0.0017233083897771006
1778.668198,-0.0009158970313036466
1778.868436,-0.002652003344086762
1779.068658,0.0003711956583878139
1779.268892,0.0003724101510778064
1779.469129,0.000502316918629346
1779.669366,0.00045954597280967847
1779.869585,0.00032425236614943025
1780.069809,0.0003335991253318063
1780.270044,0.00043045821363004333
1780.470269,0.0005417168781043941
1780.6705,0.000639818294268885
1780.870728,0.0007234908340717388
1781.070956,0.0008548435657789249
1781.271196,0.000915855342096986
1781.471415,0.0008760832702657769
1781.671652,0.0007574995594102501
1781.871882,0.000863642411491988
1782.072129,0.0007391122279842283
1782.272361,0.0005347273188474822
1782.472591,0.0018627245325406844
1782.672829,0.004689099538753152
1782.873067,0.007356966401314155
1783.07328,0.010002902075009918
1783.273522,0.012788524918185374
1783.473756,0.013565501377891982
1783.673992,0.013288677620082552
1783.874223,0.01330500954349401
1784.074455,0.013019993453811867
1784.274693,0.013139964528451984
1784.474924,0.013478063764249208
1784.675143,0.013450920072379139
1784.87538,0.013292069116557028
1785.075615,0.013413150668228535
1785.275852,0.013403527022292954
1785.47608,0.013467095239798044
1785.676314,0.013389134771163222
1785.876547,0.013328310516032517
1786.076779,0.013323628346385676
1786.277015,0.013326817671580034
1786.477231,0.013416356108524931
1786.677474,0.013574282643493734
1786.877693,0.013755034022986265
1787.077916,0.013881764650426934
1787.278164,0.014113939320524568
1787.478391,0.01426730381660718
1787.678631,0.014319881534521954
1787.878846,0.0142313393038849
1788.079068,0.014188868684966863
1788.279308,0.013938544014945946
1788.479544,0.008163078965506516
1788.679758,0.005632735453724193
1788.879998,0.003169879059260891
1789.080235,0.0005836835338314096
1789.280467,-0.001966357027669882
1789.480704,0.0007910922221143101
1789.68092,0.0009767352675801855
1789.881146,0.0009370760014632431
1790.081385,0.0009180469959742372
1790.281601,0.0009967956395996694
1790.481833,0.0010547763117252033
1790.682055,0.0009390332538562952
1790.882296,0.0007637492889826682
1791.08253,0.0005405126404793301
1791.282744,0.0004425108449456318
1791.482974,0.00032541411850548656
1791.683195,0.0002561484799251196
1791.883417,0.00020921690776094746
1792.083651,0.00023444290248842477
1792.283869,0.0002849696074164766
1792.48409,0.00031572747717101827
1792.68433,-0.00015347250873787082
1792.884571,1.8720286562898787e-05
1793.084805,0.0030611270256581777
1793.285047,0.005784000591513961
1793.485273,0.00858379446941842
1793.685512,0.011701067577557117
1793.885733,0.013777297768957203
1794.085965,0.013469342564027787
1794.286213,0.01337914487290858
1794.486451,0.013202545329704895
1794.686682,0.013265361997451283
1794.886915,0.01360421278300721
1795.087148,0.013448769438761624
1795.287382,0.013347565132950075
1795.487612,0.01326830666609651
1795.687836,0.01326719911908367
1795.888069,0.01331656114163712
1796.088302,0.0134615311345669
1796.288533,0.013321883520337684
1796.488765,0.013369887479292058
1796.688989,0.013296007061491545
1796.889225,0.013371509244560846
1797.089458,0.013355956706084342
1797.289677,0.013645950897287127
1797.489899,0.013766100703058939
